,imdbid,genre,rating,country,language,runtime,release_date,certificate
0,tt3993886,Drama,5.9/10,USA,English,121 min,1 May 2020,15
1,tt10230426,Drama,4.5/10,India,Hindi,106 min,1 May 2020,15
2,tt9683478,Comedy,7/10,USA,English,104 min,1 May 2020,12
3,tt9827854,Drama,7.7/10,USA,English,,1 May 2020,15
4,tt10919486,Drama,7.2/10,Belgium,French,,1 May 2020,15
5,tt9109976,Crime,6.4/10,India,Tamil,134 min,24 January 2020,"
 See all certifications »
            "
6,tt1899240,Comedy,7.4/10,South Africa,English,94 min,10 February 2012,"
 See all certifications »
            "
7,tt0783532,Action,7.3/10,South Africa,English,119 min,29 August 2008,15
8,tt12079212,Drama,7.4/10,Taiwan,Mandarin,,30 April 2020,18
9,tt12079236,Crime,6.2/10,Japan,Japanese,,30 April 2020,"
 See all certifications »
            "
10,tt3260524,Documentary,8.1/10,USA,English,81 min,29 April 2020,12
11,tt10262630,Crime,7.6/10,South Korea,Korean,,29 April 2020,15
12,tt11394340,Comedy,6.7/10,USA,,,23 January 2020,
13,tt10799940,Drama,7.2/10,Nigeria,English,,27 September 2019,"
 See all certifications »
            "
14,tt11199356,Action,6.7/10,India,Telugu,150 min,21 February 2020,12A
15,tt12055392,Comedy,7.2/10,India,English,72 min,24 April 2020,15
16,tt8936646,Action,6.8/10,USA,English,116 min,24 April 2020,18
17,tt6280858,Drama,2.6/10,India,Tamil,100 min,14 June 2019,15
18,tt9466298,Animation,6.3/10,Japan,Japanese,,23 April 2020,15
19,tt11777040,Action,6.2/10,South Korea,Korean,134 min,23 April 2020,"
 See all certifications »
            "
20,tt5514296,Comedy,7.2/10,Indonesia,Indonesian,108 min,19 May 2016,"
 See all certifications »
            "
21,tt10039468,Adventure,6.6/10,Indonesia,Indonesian,96 min,28 March 2019,"
 See all certifications »
            "
22,tt5206260,Animation,6.4/10,Canada,English,90 min,22 April 2020,PG
23,tt11718294,Documentary,7.1/10,UK,English,,26 January 2020,"
 See all certifications »
            "
24,tt12027008,Documentary,3.8/10,USA,English,,22 April 2020,12
25,tt10397734,Crime,4.4/10,Nigeria,English,103 min,9 August 2019,"
 See all certifications »
            "
26,tt11639414,Animation,8.4/10,USA,English,,20 April 2020,15
27,tt11531530,Drama,6.9/10,India,Malayalam,145 min,7 February 2020,12A
28,tt8750570,Biography,6.1/10,USA,English,118 min,17 April 2020,15
29,tt9359294,Comedy,5.3/10,India,Hindi,,17 April 2020,"
 See all certifications »
            "
30,tt10092752,Action,5/10,France,French,80 min,17 April 2020,15
31,tt1668053,Documentary,,USA,English,7 min,,
